Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.21718","9.97715","5.24000"
"0.21793","10.03987","5.26000"
"0.21857","10.09302","5.28000"
"0.21937","10.13954","5.30000"
"0.22039","10.19286","5.32000"
"0.22149","10.26024","5.34000"
"0.22253","10.33514","5.36000"
"0.22323","10.40600","5.38000"
"0.22377","10.45910","5.40000"
"0.22447","10.49860","5.42000"
"0.22538","10.54384","5.44000"
"0.22629","10.60221","5.46000"
"0.22716","10.66497","5.48000"
"0.22796","10.72656","5.50000"
"0.22861","10.78125","5.52000"
"0.22936","10.82788","5.54000"
"0.23035","10.87861","5.56000"
"0.23143","10.94296","5.58000"
"0.23249","11.01647","5.60000"
"0.23326","11.08762","5.62000"
"0.23380","11.14222","5.64000"
"0.23445","11.18116","5.66000"
"0.23536","11.22279","5.68000"
"0.23629","11.27895","5.70000"
"0.23719","11.34170","5.72000"
"0.23801","11.40322","5.74000"
"0.23866","11.45798","5.76000"
"0.23936","11.50302","5.78000"
"0.24031","11.54960","5.80000"
"0.24138","11.60941","5.82000"
"0.24244","11.67956","5.84000"
"0.24330","11.75001","5.86000"
"0.24387","11.80756","5.88000"
"0.24448","11.84763","5.90000"
"0.24534","11.88604","5.92000"
"0.24628","11.93796","5.94000"
"0.24717","11.99857","5.96000"
"0.24803","12.05913","5.98000"
"0.24872","12.11475","6.00000"
"0.24938","12.16078","6.02000"
"0.25025","12.20466","6.04000"
"0.25129","12.25889","6.06000"
"0.25236","12.32505","6.08000"
"0.25331","12.39503","6.10000"
"0.25394","12.45586","6.12000"
"0.25451","12.49835","6.14000"
"0.25532","12.53487","6.16000"
"0.25627","12.58296","6.18000"
"0.25715","12.64160","6.20000"
"0.25803","12.70057","6.22000"
"0.25873","12.75615","6.24000"
"0.25935","12.80184","6.26000"
"0.26014","12.84246","6.28000"
"0.26118","12.89175","6.30000"
"0.26230","12.95578","6.32000"
"0.26335","13.02733","6.34000"
"0.26406","13.09291","6.36000"
"0.26461","13.13957","6.38000"
"0.26536","13.17470","6.40000"
"0.26627","13.21770","6.42000"
"0.26713","13.27211","6.44000"
"0.26799","13.32821","6.46000"
"0.26876","13.38242","6.48000"
"0.26939","13.42954","6.50000"
"0.27015","13.46976","6.52000"
"0.27117","13.51642","6.54000"
"0.27228","13.57758","6.56000"
"0.27334","13.64673","6.58000"
"0.27411","13.71146","6.60000"
"0.27465","13.75868","6.62000"
"0.27534","13.79238","6.64000"
"0.27624","13.83090","6.66000"
"0.27713","13.88266","6.68000"
"0.27800","13.93819","6.70000"
"0.27881","13.99188","6.72000"
"0.27946","14.03913","6.74000"
"0.28018","14.07890","6.76000"
"0.28116","14.12148","6.78000"
"0.28226","14.17767","6.80000"
"0.28333","14.24316","6.82000"
"0.28416","14.30644","6.84000"
"0.28469","14.35379","6.86000"
"0.28531","14.38476","6.88000"
"0.28619","14.41842","6.90000"
"0.28710","14.46638","6.92000"
"0.28799","14.52049","6.94000"
"0.28885","14.57351","6.96000"
"0.28951","14.62118","6.98000"
"0.29020","14.65914","7.00000"
"0.29112","14.69753","7.02000"
"0.29220","14.74826","7.04000"
"0.29330","14.80957","7.06000"
"0.29420","14.87178","7.08000"
"0.29478","14.92049","7.10000"
"0.29534","14.95135","7.12000"
"0.29616","14.97987","7.14000"
"0.29708","15.02184","7.16000"
"0.29796","15.07244","7.18000"
"0.29885","15.12329","7.20000"
"0.29955","15.16964","7.22000"
"0.30021","15.20668","7.24000"
"0.30104","15.24083","7.26000"
"0.30212","15.28493","7.28000"
"0.30324","15.34209","7.30000"
"0.30421","15.40250","7.32000"
"0.30483","15.45250","7.34000"
"0.30537","15.48317","7.36000"
"0.30612","15.50761","7.38000"
"0.30704","15.54359","7.40000"
"0.30794","15.59130","7.42000"
