Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.48752","6.22004","9.78000"
"0.48839","6.23940","9.80000"
"0.48933","6.25663","9.82000"
"0.49048","6.27415","9.84000"
"0.49171","6.29491","9.86000"
"0.49282","6.31825","9.88000"
"0.49359","6.33977","9.90000"
"0.49440","6.35599","9.92000"
"0.49542","6.37075","9.94000"
"0.49648","6.38847","9.96000"
"0.49755","6.40855","9.98000"
"0.49842","6.42844","10.00000"
"0.49932","6.44561","10.02000"
"0.50044","6.46275","10.04000"
"0.50167","6.48346","10.06000"
"0.50284","6.50695","10.08000"
"0.50365","6.52965","10.10000"
"0.50444","6.54670","10.12000"
"0.50544","6.56173","10.14000"
"0.50647","6.57916","10.16000"
"0.50752","6.59863","10.18000"
"0.50843","6.61844","10.20000"
"0.50929","6.63645","10.22000"
"0.51037","6.65314","10.24000"
"0.51157","6.67296","10.26000"
"0.51277","6.69621","10.28000"
"0.51367","6.71954","10.30000"
"0.51445","6.73805","10.32000"
"0.51544","6.75326","10.34000"
"0.51648","6.77029","10.36000"
"0.51754","6.78976","10.38000"
"0.51847","6.81017","10.40000"
"0.51929","6.82836","10.42000"
"0.52031","6.84475","10.44000"
"0.52151","6.86313","10.46000"
"0.52276","6.88577","10.48000"
"0.52374","6.90984","10.50000"
"0.52453","6.92982","10.52000"
"0.52548","6.94563","10.54000"
"0.52650","6.96194","10.56000"
"0.52754","6.98088","10.58000"
"0.52849","7.00077","10.60000"
"0.52930","7.01918","10.62000"
"0.53028","7.03513","10.64000"
"0.53149","7.05301","10.66000"
"0.53276","7.07564","10.68000"
"0.53379","7.10027","10.70000"
"0.53456","7.12109","10.72000"
"0.53547","7.13678","10.74000"
"0.53650","7.15273","10.76000"
"0.53754","7.17124","10.78000"
"0.53852","7.19125","10.80000"
"0.53933","7.21006","10.82000"
"0.54027","7.22625","10.84000"
"0.54146","7.24349","10.86000"
"0.54273","7.26504","10.88000"
"0.54383","7.28962","10.90000"
"0.54461","7.31171","10.92000"
"0.54545","7.32817","10.94000"
"0.54646","7.34389","10.96000"
"0.54750","7.36187","10.98000"
"0.54853","7.38160","11.00000"
"0.54938","7.40109","11.02000"
